Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26040902000101RL","B","2026-04-10T14:35:18.010Z","NG","-","IN PROGRESS"
"26040901880101RL","B","2026-04-10T14:32:51.983Z","IN PROGRESS","-","IN PROGRESS"
"26040902040101RL","B","2026-04-10T14:23:47.553Z","NG","OK","OK"
"26040902050101RL","B","2026-04-10T14:14:31.660Z","NG","NOK","NG"
"26041000850101RL","A","2026-04-10T13:57:45.230Z","IN PROGRESS","-","IN PROGRESS"
"26041000840101RL","A","2026-04-10T13:57:34.060Z","IN PROGRESS","-","IN PROGRESS"
"26041000820101RL","A","2026-04-10T13:44:25.580Z","IN PROGRESS","-","IN PROGRESS"
"26041000810101RL","A","2026-04-10T13:41:05.260Z","IN PROGRESS","-","IN PROGRESS"
"26041000800101RL","A","2026-04-10T13:37:42.837Z","IN PROGRESS","-","IN PROGRESS"
"26041000790101RL","A","2026-04-10T13:37:34.437Z","IN PROGRESS","-","IN PROGRESS"
"26041000720101RL","A","2026-04-10T13:25:15.460Z","IN PROGRESS","-","IN PROGRESS"
"26041000710101RL","A","2026-04-10T13:23:46.727Z","IN PROGRESS","-","IN PROGRESS"
"26041000690101RL","A","2026-04-10T13:23:29.710Z","IN PROGRESS","-","IN PROGRESS"
"26040901950101RL","A","2026-04-10T13:15:43.503Z","IN PROGRESS","OK","OK"
"26041000680101RL","A","2026-04-10T13:15:06.307Z","IN PROGRESS","-","IN PROGRESS"
"26041000670101RL","A","2026-04-10T13:13:44.630Z","IN PROGRESS","-","IN PROGRESS"
"26041000660101RL","A","2026-04-10T13:12:28.810Z","IN PROGRESS","-","IN PROGRESS"
"26041000650101RL","A","2026-04-10T13:09:48.777Z","IN PROGRESS","-","IN PROGRESS"
"26041000640101RL","A","2026-04-10T13:08:41.057Z","IN PROGRESS","-","IN PROGRESS"
"26041000630101RL","A","2026-04-10T13:07:35.953Z","IN PROGRESS","-","IN PROGRESS"
"26041000620101RL","A","2026-04-10T13:07:20.887Z","IN PROGRESS","-","IN PROGRESS"
"26041000610101RL","A","2026-04-10T12:51:03.710Z","IN PROGRESS","-","IN PROGRESS"
"26041000600101RL","A","2026-04-10T12:48:48.777Z","IN PROGRESS","-","IN PROGRESS"
"26041000590101RL","A","2026-04-10T12:47:56.957Z","IN PROGRESS","-","IN PROGRESS"
"26040901910101RL","A","2026-04-10T12:46:58.687Z","IN PROGRESS","OK","OK"
"26041000580101RL","A","2026-04-10T12:46:40.227Z","IN PROGRESS","-","IN PROGRESS"
"26041000570101RL","A","2026-04-10T12:46:27.183Z","IN PROGRESS","-","IN PROGRESS"
"26041000560101RL","A","2026-04-10T12:43:11.727Z","IN PROGRESS","-","IN PROGRESS"
"26041000550101RL","A","2026-04-10T12:42:29.807Z","IN PROGRESS","-","IN PROGRESS"
"26040902010101RL","A","2026-04-10T12:36:24.930Z","IN PROGRESS","-","IN PROGRESS"
"26041000530101RL","A","2026-04-10T12:34:51.780Z","IN PROGRESS","-","IN PROGRESS"
"26041000520101RL","A","2026-04-10T12:31:46.677Z","IN PROGRESS","-","IN PROGRESS"
"26041000510101RL","A","2026-04-10T12:30:29.810Z","IN PROGRESS","-","IN PROGRESS"
"26041000500101RL","A","2026-04-10T12:29:06.333Z","IN PROGRESS","-","IN PROGRESS"
"26041000480101RL","A","2026-04-10T12:27:15.253Z","IN PROGRESS","-","IN PROGRESS"
"26040902030101RL","A","2026-04-10T12:26:44.503Z","IN PROGRESS","OK","OK"
"26041000470101RL","A","2026-04-10T12:24:11.950Z","IN PROGRESS","-","IN PROGRESS"
"26041000460101RL","A","2026-04-10T12:23:19.760Z","IN PROGRESS","-","IN PROGRESS"
"26041000450101RL","A","2026-04-10T12:22:28.230Z","IN PROGRESS","-","IN PROGRESS"
"26040902020101RL","A","2026-04-10T12:18:39.630Z","IN PROGRESS","OK","OK"
"26041000440101RL","A","2026-04-10T12:17:58.230Z","IN PROGRESS","-","IN PROGRESS"
"26041000430101RL","A","2026-04-10T12:16:28.383Z","IN PROGRESS","-","IN PROGRESS"
"26041000420101RL","A","2026-04-10T12:15:41.127Z","IN PROGRESS","-","IN PROGRESS"
"26041000380101RL","A","2026-04-10T12:14:45.473Z","IN PROGRESS","-","IN PROGRESS"
"26041000410101RL","A","2026-04-10T12:13:48.480Z","IN PROGRESS","-","IN PROGRESS"
"26041000390101RL","A","2026-04-10T12:10:11.280Z","IN PROGRESS","-","IN PROGRESS"
"26041000300101RL","A","2026-04-10T12:07:11.657Z","IN PROGRESS","-","IN PROGRESS"
"26041000360101RL","A","2026-04-10T12:06:11.650Z","IN PROGRESS","-","IN PROGRESS"
"26041000370101RL","A","2026-04-10T12:05:13.767Z","IN PROGRESS","-","IN PROGRESS"
"26041000400101RL","A","2026-04-10T12:04:17.580Z","IN PROGRESS","-","IN PROGRESS"
"26041000340101RL","A","2026-04-10T12:04:04.610Z","IN PROGRESS","-","IN PROGRESS"
"26040901980101RL","A","2026-04-10T12:00:37.757Z","IN PROGRESS","OK","OK"
"26040901900101RL","A","2026-04-10T12:00:30.633Z","IN PROGRESS","OK","OK"
"26041000270101RL","A","2026-04-10T12:00:07.680Z","IN PROGRESS","-","IN PROGRESS"
"26041000350101RL","A","2026-04-10T11:58:04.080Z","IN PROGRESS","-","IN PROGRESS"
"26041000260101RL","A","2026-04-10T11:55:51.630Z","IN PROGRESS","-","IN PROGRESS"
"26040901890101RL","A","2026-04-10T11:45:10.233Z","NG","OK","OK"
"26040901940101RL","A","2026-04-10T11:35:42.260Z","IN PROGRESS","OK","OK"
"26041000830101RL","A","2026-04-10T11:34:40.377Z","IN PROGRESS","-","IN PROGRESS"
"26040901970101RL","A","2026-04-10T11:23:51.183Z","IN PROGRESS","OK","OK"
"26040901990101RL","A","2026-04-10T11:13:30.407Z","NG","OK","OK"
